BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
11.12.2025;14:45;CET;11.12.2025;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;41;41;10;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Konventionell
11.12.2025;14:45;CET;11.12.2025;16:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;166,67;200;250;TenneT DE;TenneT DE;SHN Cluster Handewitt T414 T415;Erneuerbar
11.12.2025;15:00;CET;11.12.2025;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;119;119;119;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Jänschwalde (Standort);Konventionell
11.12.2025;15:00;CET;11.12.2025;18:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;85;155;255;TransnetBW;50Hertz & TenneT DE;Heizkraftwerk Altbach/Deizisau Block 2;Konventionell
11.12.2025;15:00;CET;11.12.2025;22:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;129;150;900;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H Berlin Lichterfelde;Konventionell
11.12.2025;15:15;CET;11.12.2025;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;40;40;30;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Goldisthal (Standort);Sonstiges
11.12.2025;15:45;CET;11.12.2025;18:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;252,78;430;568,75;TransnetBW;50Hertz & TenneT DE;Rheinhafen-Dampfkraftwerk Karlsruhe Block 8;Konventionell
11.12.2025;19:00;CET;12.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;262,55;454;1312,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Wilhelmshaven (ENGIE);Konventionell
11.12.2025;20:00;CET;11.12.2025;22:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;114,44;153;257,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Irsching 4;Konventionell
11.12.2025;21:00;CET;12.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;285;285;855;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;WEISWEILER_H;Konventionell
11.12.2025;23:00;CET;12.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;144;159;144;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;HAMMUENTROP_10;Konventionell
